platform,module,pi,theta,unroll,karatsuba,cycles
avx2,mmh,116,3,1,0,56087
avx2,mmh,116,3,1,1,51216
avx2,mmh,130,5,1,0,70251
avx2,mmh,130,5,1,1,62567
avx2,mmh,226,5,1,0,118127
avx2,mmh,226,5,1,1,100374
avx2,nmh,116,3,1,0,51208
avx2,nmh,116,3,1,1,49126
avx2,nmh,130,5,1,0,61782
avx2,nmh,130,5,1,1,58616
avx2,nmh,226,5,1,0,83998
avx2,nmh,226,5,1,1,74576
avx2,sqh,116,3,1,0,48988
avx2,sqh,116,3,1,1,48980
avx2,sqh,130,5,1,0,55331
avx2,sqh,130,5,1,1,55371
avx2,sqh,226,5,1,0,90903
avx2,sqh,226,5,1,1,90233
avx2,hkm_iter,116,3,1,0,65344
avx2,hkm_iter,116,3,1,1,65061
avx2,hkm_iter,130,5,1,0,88045
avx2,hkm_iter,130,5,1,1,82850
avx2,hkm_iter,226,5,1,0,126119
avx2,hkm_iter,226,5,1,1,120652
avx2,poly1305,130,5,1,0,93537
avx2,poly1305,130,5,1,1,64826
