platform,module,pi,theta,unroll,karatsuba,cycles
neon,mmh,116,3,1,0,15791
neon,mmh,116,3,1,1,23853
neon,mmh,130,5,1,0,20618
neon,mmh,130,5,1,1,28624
neon,mmh,226,5,1,0,36881
neon,mmh,226,5,1,1,40610
neon,nmh,116,3,1,0,12456
neon,nmh,116,3,1,1,16151
neon,nmh,130,5,1,0,15881
neon,nmh,130,5,1,1,19331
neon,nmh,226,5,1,0,23909
neon,nmh,226,5,1,1,25646
neon,sqh,116,3,1,0,15143
neon,sqh,116,3,1,1,15045
neon,sqh,130,5,1,0,18943
neon,sqh,130,5,1,1,18954
neon,sqh,226,5,1,0,25167
neon,sqh,226,5,1,1,25168
neon,hkm_iter,116,3,1,0,40535
neon,hkm_iter,116,3,1,1,33194
neon,hkm_iter,130,5,1,0,52704
neon,hkm_iter,130,5,1,1,46716
neon,hkm_iter,226,5,1,0,94218
neon,hkm_iter,226,5,1,1,75262
neon,poly1305,130,5,1,0,96344
neon,poly1305,130,5,1,1,59234
