module,pi,theta,karatsuba,length,cycles
mmh,116,3,0,252,1073
mmh,116,3,0,476,1864
mmh,116,3,0,700,2634
mmh,116,3,0,924,3404
mmh,116,3,0,1148,4173
mmh,116,3,0,1372,4943
mmh,116,3,0,1596,5713
mmh,116,3,0,1820,6482
mmh,116,3,0,2044,7252
mmh,116,3,0,2268,8033
mmh,116,3,0,2492,8791
mmh,116,3,0,2716,9560
mmh,116,3,0,2940,10335
mmh,116,3,0,3164,11118
mmh,116,3,0,3388,11894
mmh,116,3,0,3612,12665
mmh,116,3,0,3836,13443
mmh,116,3,0,4060,14242
mmh,116,3,0,4284,15055
mmh,116,3,0,4508,15850
mmh,116,3,0,4732,16621
mmh,116,3,0,4956,17379
mmh,116,3,0,5180,18150
mmh,116,3,0,5404,18928
mmh,116,3,0,5628,19697
mmh,116,3,0,5852,20467
mmh,116,3,0,6076,21236
mmh,116,3,0,6300,22007
mmh,116,3,0,6524,22775
mmh,116,3,0,6748,23545
mmh,116,3,0,6972,24320
mmh,116,3,0,7196,25104
mmh,116,3,0,7420,25880
mmh,116,3,0,7644,26653
mmh,116,3,0,7868,27428
mmh,116,3,0,8092,28234
mmh,116,3,0,8316,29061
mmh,116,3,0,8540,29874
mmh,116,3,0,8764,30650
mmh,116,3,0,8988,31419
mmh,116,3,0,9212,32188
mmh,116,3,0,9436,32958
mmh,116,3,0,9660,33730
mmh,116,3,0,9884,34498
mmh,116,3,0,10108,35266
mmh,116,3,0,10332,36038
mmh,116,3,0,10556,36808
mmh,116,3,0,10780,37580
mmh,116,3,0,11004,38351
mmh,116,3,0,11228,39133
mmh,116,3,0,11452,39916
mmh,116,3,0,11676,40688
mmh,116,3,0,11900,41459
mmh,116,3,0,12124,42250
mmh,116,3,0,12348,43063
mmh,116,3,0,12572,43884
mmh,116,3,0,12796,44733
mmh,116,3,0,13020,45506
mmh,116,3,0,13244,46278
mmh,116,3,0,13468,47045
mmh,116,3,0,13692,47816
mmh,116,3,0,13916,48586
mmh,116,3,0,14140,49356
mmh,116,3,0,14364,50127
mmh,116,3,0,14588,50894
mmh,116,3,0,14812,51664
mmh,116,3,0,15036,52434
mmh,116,3,0,15260,53267
mmh,116,3,0,15484,54089
mmh,116,3,0,15708,54905
mmh,116,3,0,15932,55708
mmh,116,3,1,252,976
mmh,116,3,1,476,1683
mmh,116,3,1,700,2390
mmh,116,3,1,924,3115
mmh,116,3,1,1148,3841
mmh,116,3,1,1372,4572
mmh,116,3,1,1596,5284
mmh,116,3,1,1820,5990
mmh,116,3,1,2044,6698
mmh,116,3,1,2268,7493
mmh,116,3,1,2492,8111
mmh,116,3,1,2716,8818
mmh,116,3,1,2940,9525
mmh,116,3,1,3164,10231
mmh,116,3,1,3388,10938
mmh,116,3,1,3612,11645
mmh,116,3,1,3836,12352
mmh,116,3,1,4060,13059
mmh,116,3,1,4284,13833
