module,pi,theta,karatsuba,length,cycles
mmh,116,3,0,140,199
mmh,116,3,0,252,309
mmh,116,3,0,364,419
mmh,116,3,0,476,529
mmh,116,3,0,588,647
mmh,116,3,0,700,752
mmh,116,3,0,812,859
mmh,116,3,0,924,972
mmh,116,3,0,1036,1080
mmh,116,3,0,1148,1188
mmh,116,3,0,1260,1301
mmh,116,3,0,1372,1408
mmh,116,3,0,1484,1516
mmh,116,3,0,1596,1624
mmh,116,3,0,1708,1735
mmh,116,3,0,1820,1853
mmh,116,3,0,1932,1971
mmh,116,3,0,2044,2088
mmh,116,3,0,2156,2205
mmh,116,3,0,2268,2322
mmh,116,3,0,2380,2440
mmh,116,3,0,2492,2555
mmh,116,3,0,2604,2671
mmh,116,3,0,2716,2774
mmh,116,3,0,2828,2907
mmh,116,3,0,2940,3025
mmh,116,3,0,3052,3124
mmh,116,3,0,3164,3242
mmh,116,3,0,3276,3383
mmh,116,3,0,3388,3501
mmh,116,3,0,3500,3627
mmh,116,3,0,3612,3710
mmh,116,3,0,3724,3826
mmh,116,3,0,3836,3941
mmh,116,3,0,3948,4058
mmh,116,3,0,4060,4172
mmh,116,3,0,4172,4288
mmh,116,3,0,4284,4406
mmh,116,3,0,4396,4522
mmh,116,3,0,4508,4639
mmh,116,3,0,4620,4789
mmh,116,3,0,4732,4898
mmh,116,3,0,4844,5028
mmh,116,3,0,4956,5140
mmh,116,3,0,5068,5259
mmh,116,3,0,5180,5373
mmh,116,3,0,5292,5492
mmh,116,3,0,5404,5608
mmh,116,3,0,5516,5725
mmh,116,3,0,5628,5797
mmh,116,3,0,5740,5944
mmh,116,3,0,5852,6062
mmh,116,3,0,5964,6185
mmh,116,3,0,6076,6335
mmh,116,3,0,6188,6453
mmh,116,3,0,6300,6529
mmh,116,3,0,6412,6651
mmh,116,3,0,6524,6742
mmh,116,3,0,6636,6856
mmh,116,3,0,6748,7012
mmh,116,3,0,6860,7131
mmh,116,3,0,6972,7295
mmh,116,3,0,7084,7407
mmh,116,3,0,7196,7476
mmh,116,3,0,7308,7593
mmh,116,3,0,7420,7669
mmh,116,3,0,7532,7789
mmh,116,3,0,7644,7944
mmh,116,3,0,7756,8062
mmh,116,3,0,7868,8181
mmh,116,3,0,7980,8298
mmh,116,3,0,8092,8412
mmh,116,3,0,8204,8529
mmh,116,3,0,8316,8646
mmh,116,3,0,8428,8762
mmh,116,3,0,8540,8879
mmh,116,3,0,8652,8995
mmh,116,3,0,8764,9113
mmh,116,3,0,8876,9231
mmh,116,3,0,8988,9417
mmh,116,3,0,9100,9534
mmh,116,3,0,9212,9652
mmh,116,3,0,9324,9762
mmh,116,3,0,9436,9877
mmh,116,3,0,9548,9992
mmh,116,3,0,9660,10029
mmh,116,3,0,9772,10152
mmh,116,3,0,9884,10270
mmh,116,3,0,9996,10387
mmh,116,3,0,10108,10505
mmh,116,3,0,10220,10623
mmh,116,3,0,10332,10741
mmh,116,3,0,10444,10959
mmh,116,3,0,10556,10929
mmh,116,3,0,10668,11052
mmh,116,3,0,10780,11271
mmh,116,3,0,10892,11280
mmh,116,3,0,11004,11399
mmh,116,3,0,11116,11626
mmh,116,3,0,11228,11699
mmh,116,3,0,11340,11815
mmh,116,3,0,11452,11929
mmh,116,3,0,11564,12071
mmh,116,3,0,11676,12195
mmh,116,3,0,11788,12304
mmh,116,3,0,11900,12420
mmh,116,3,0,12012,12527
mmh,116,3,0,12124,12640
mmh,116,3,0,12236,12759
mmh,116,3,0,12348,12879
mmh,116,3,0,12460,13060
mmh,116,3,0,12572,13175
mmh,116,3,0,12684,13287
mmh,116,3,0,12796,13406
mmh,116,3,0,12908,13520
mmh,116,3,0,13020,13573
mmh,116,3,0,13132,13702
mmh,116,3,0,13244,13905
mmh,116,3,0,13356,14022
mmh,116,3,0,13468,14103
mmh,116,3,0,13580,14236
mmh,116,3,0,13692,14342
mmh,116,3,0,13804,14489
mmh,116,3,0,13916,14606
mmh,116,3,0,14028,14724
mmh,116,3,0,14140,14839
mmh,116,3,0,14252,14956
mmh,116,3,0,14364,15006
mmh,116,3,0,14476,15106
mmh,116,3,0,14588,15307
mmh,116,3,0,14700,15424
mmh,116,3,0,14812,15545
mmh,116,3,0,14924,15658
mmh,116,3,0,15036,15775
mmh,116,3,0,15148,15882
mmh,116,3,0,15260,16006
mmh,116,3,0,15372,16112
mmh,116,3,0,15484,16155
mmh,116,3,0,15596,16273
mmh,116,3,0,15708,16391
mmh,116,3,0,15820,16510
mmh,116,3,0,15932,16624
mmh,116,3,1,140,261
mmh,116,3,1,252,426
mmh,116,3,1,364,590
mmh,116,3,1,476,754
mmh,116,3,1,588,918
mmh,116,3,1,700,1082
mmh,116,3,1,812,1246
mmh,116,3,1,924,1410
mmh,116,3,1,1036,1575
mmh,116,3,1,1148,1706
mmh,116,3,1,1260,1869
mmh,116,3,1,1372,2039
mmh,116,3,1,1484,2216
mmh,116,3,1,1596,2386
mmh,116,3,1,1708,2559
mmh,116,3,1,1820,2731
mmh,116,3,1,1932,2890
mmh,116,3,1,2044,3055
mmh,116,3,1,2156,3219
mmh,116,3,1,2268,3385
