module,pi,theta,karatsuba,length,cycles
mmh,116,3,0,140,202
mmh,116,3,0,280,339
mmh,116,3,0,420,474
mmh,116,3,0,560,612
mmh,116,3,0,700,749
mmh,116,3,0,840,900
mmh,116,3,0,980,1029
mmh,116,3,0,1120,1160
mmh,116,3,0,1260,1297
mmh,116,3,0,1400,1445
mmh,116,3,0,1540,1570
mmh,116,3,0,1680,1710
mmh,116,3,0,1820,1842
mmh,116,3,0,1960,1980
mmh,116,3,0,2100,2116
mmh,116,3,0,2240,2253
mmh,116,3,0,2380,2389
mmh,116,3,0,2520,2525
mmh,116,3,0,2660,2662
mmh,116,3,0,2800,2799
mmh,116,3,0,2940,2936
mmh,116,3,0,3080,3084
mmh,116,3,0,3220,3235
mmh,116,3,0,3360,3362
mmh,116,3,0,3500,3504
mmh,116,3,0,3640,3654
mmh,116,3,0,3780,3804
mmh,116,3,0,3920,3948
mmh,116,3,0,4060,4093
mmh,116,3,0,4200,4238
mmh,116,3,0,4340,4382
mmh,116,3,0,4480,4526
mmh,116,3,0,4620,4698
mmh,116,3,0,4760,4843
mmh,116,3,0,4900,4986
mmh,116,3,0,5040,5132
mmh,116,3,0,5180,5280
mmh,116,3,0,5320,5425
mmh,116,3,0,5460,5571
mmh,116,3,0,5600,5715
mmh,116,3,0,5740,5862
mmh,116,3,0,5880,6001
mmh,116,3,0,6020,6139
mmh,116,3,0,6160,6286
mmh,116,3,0,6300,6431
mmh,116,3,0,6440,6576
mmh,116,3,0,6580,6723
mmh,116,3,0,6720,6871
mmh,116,3,0,6860,7014
mmh,116,3,0,7000,7160
mmh,116,3,0,7140,7308
mmh,116,3,0,7280,7454
mmh,116,3,0,7420,7600
mmh,116,3,0,7560,7743
mmh,116,3,0,7700,7888
mmh,116,3,0,7840,8036
mmh,116,3,0,7980,8180
mmh,116,3,0,8120,8326
mmh,116,3,0,8260,8471
mmh,116,3,0,8400,8615
mmh,116,3,0,8540,8761
mmh,116,3,0,8680,8907
mmh,116,3,0,8820,9054
mmh,116,3,0,8960,9199
mmh,116,3,0,9100,9344
mmh,116,3,0,9240,9486
mmh,116,3,0,9380,9632
mmh,116,3,0,9520,9777
mmh,116,3,0,9660,9922
mmh,116,3,0,9800,10065
mmh,116,3,0,9940,10210
mmh,116,3,0,10080,10357
mmh,116,3,0,10220,10528
mmh,116,3,0,10360,10652
mmh,116,3,0,10500,10798
mmh,116,3,0,10640,10946
mmh,116,3,0,10780,11090
mmh,116,3,0,10920,11236
mmh,116,3,0,11060,11382
mmh,116,3,0,11200,11531
mmh,116,3,0,11340,11684
mmh,116,3,0,11480,11881
mmh,116,3,0,11620,12038
mmh,116,3,0,11760,12234
mmh,116,3,0,11900,12363
mmh,116,3,0,12040,12500
mmh,116,3,0,12180,12586
mmh,116,3,0,12320,12727
mmh,116,3,0,12460,12868
mmh,116,3,0,12600,13011
mmh,116,3,0,12740,13160
mmh,116,3,0,12880,13301
mmh,116,3,0,13020,13371
mmh,116,3,0,13160,13519
mmh,116,3,0,13300,13664
mmh,116,3,0,13440,13811
mmh,116,3,0,13580,13959
mmh,116,3,0,13720,14106
mmh,116,3,0,13860,14254
mmh,116,3,0,14000,14399
mmh,116,3,0,14140,14668
mmh,116,3,0,14280,14682
mmh,116,3,0,14420,14829
mmh,116,3,0,14560,15061
mmh,116,3,0,14700,15179
mmh,116,3,0,14840,15326
mmh,116,3,0,14980,15475
mmh,116,3,0,15120,15620
mmh,116,3,0,15260,15761
mmh,116,3,0,15400,15904
mmh,116,3,0,15540,16124
mmh,116,3,0,15680,16219
mmh,116,3,0,15820,16369
mmh,116,3,0,15960,16512
mmh,116,3,1,140,254
mmh,116,3,1,280,454
mmh,116,3,1,420,656
mmh,116,3,1,560,860
mmh,116,3,1,700,1067
mmh,116,3,1,840,1276
mmh,116,3,1,980,1487
mmh,116,3,1,1120,1697
mmh,116,3,1,1260,1903
mmh,116,3,1,1400,2109
mmh,116,3,1,1540,2244
mmh,116,3,1,1680,2456
mmh,116,3,1,1820,2663
mmh,116,3,1,1960,2877
mmh,116,3,1,2100,3091
mmh,116,3,1,2240,3308
mmh,116,3,1,2380,3516
mmh,116,3,1,2520,3731
mmh,116,3,1,2660,3951
mmh,116,3,1,2800,4159
mmh,116,3,1,2940,4368
mmh,116,3,1,3080,4576
mmh,116,3,1,3220,4786
mmh,116,3,1,3360,4990
mmh,116,3,1,3500,5209
mmh,116,3,1,3640,5412
mmh,116,3,1,3780,5618
mmh,116,3,1,3920,5826
mmh,116,3,1,4060,6029
mmh,116,3,1,4200,6236
mmh,116,3,1,4340,6443
mmh,116,3,1,4480,6648
mmh,116,3,1,4620,6851
mmh,116,3,1,4760,7059
mmh,116,3,1,4900,7265
mmh,116,3,1,5040,7470
mmh,116,3,1,5180,7677
mmh,116,3,1,5320,7879
mmh,116,3,1,5460,8087
mmh,116,3,1,5600,8291
mmh,116,3,1,5740,8499
mmh,116,3,1,5880,8703
mmh,116,3,1,6020,8910
mmh,116,3,1,6160,9116
mmh,116,3,1,6300,9318
mmh,116,3,1,6440,9527
mmh,116,3,1,6580,9736
mmh,116,3,1,6720,9936
mmh,116,3,1,6860,10143
mmh,116,3,1,7000,10349
mmh,116,3,1,7140,10554
mmh,116,3,1,7280,10752
mmh,116,3,1,7420,10961
mmh,116,3,1,7560,11165
mmh,116,3,1,7700,11376
mmh,116,3,1,7840,11585
mmh,116,3,1,7980,11786
mmh,116,3,1,8120,11994
mmh,116,3,1,8260,12200
mmh,116,3,1,8400,12398
mmh,116,3,1,8540,12605
mmh,116,3,1,8680,12810
mmh,116,3,1,8820,13010
mmh,116,3,1,8960,13221
mmh,116,3,1,9100,13422
mmh,116,3,1,9240,13630
mmh,116,3,1,9380,13838
mmh,116,3,1,9520,14042
mmh,116,3,1,9660,14246
mmh,116,3,1,9800,14455
mmh,116,3,1,9940,14660
mmh,116,3,1,10080,14860
mmh,116,3,1,10220,15071
mmh,116,3,1,10360,15284
mmh,116,3,1,10500,15484
mmh,116,3,1,10640,15691
mmh,116,3,1,10780,15907
mmh,116,3,1,10920,16115
mmh,116,3,1,11060,16307
mmh,116,3,1,11200,16513
mmh,116,3,1,11340,16707
mmh,116,3,1,11480,16920
mmh,116,3,1,11620,17119
mmh,116,3,1,11760,17329
mmh,116,3,1,11900,17532
mmh,116,3,1,12040,17734
mmh,116,3,1,12180,17946
mmh,116,3,1,12320,18150
mmh,116,3,1,12460,18353
mmh,116,3,1,12600,18559
mmh,116,3,1,12740,18768
mmh,116,3,1,12880,18967
mmh,116,3,1,13020,19176
mmh,116,3,1,13160,19374
mmh,116,3,1,13300,19586
mmh,116,3,1,13440,19785
mmh,116,3,1,13580,19996
mmh,116,3,1,13720,20198
mmh,116,3,1,13860,20401
mmh,116,3,1,14000,20620
mmh,116,3,1,14140,20820
mmh,116,3,1,14280,21015
mmh,116,3,1,14420,21231
mmh,116,3,1,14560,21434
mmh,116,3,1,14700,21630
mmh,116,3,1,14840,21845
mmh,116,3,1,14980,22049
mmh,116,3,1,15120,22257
mmh,116,3,1,15260,22492
mmh,116,3,1,15400,22676
mmh,116,3,1,15540,22871
mmh,116,3,1,15680,23079
mmh,116,3,1,15820,23292
mmh,116,3,1,15960,23485
mmh,226,5,0,140,463
mmh,226,5,0,280,1003
mmh,226,5,0,420,1118
mmh,226,5,0,560,1669
mmh,226,5,0,700,1778
mmh,226,5,0,840,2327
mmh,226,5,0,980,2424
mmh,226,5,0,1120,2993
mmh,226,5,0,1260,3052
mmh,226,5,0,1400,3636
mmh,226,5,0,1540,3686
mmh,226,5,0,1680,4269
mmh,226,5,0,1820,4318
mmh,226,5,0,1960,4905
mmh,226,5,0,2100,4953
mmh,226,5,0,2240,5536
mmh,226,5,0,2380,5586
mmh,226,5,0,2520,6176
mmh,226,5,0,2660,6221
mmh,226,5,0,2800,6811
mmh,226,5,0,2940,6854
mmh,226,5,0,3080,7447
mmh,226,5,0,3220,7484
mmh,226,5,0,3360,8077
mmh,226,5,0,3500,8119
mmh,226,5,0,3640,8716
mmh,226,5,0,3780,8749
mmh,226,5,0,3920,9340
mmh,226,5,0,4060,9382
mmh,226,5,0,4200,9983
mmh,226,5,0,4340,10014
mmh,226,5,0,4480,10611
mmh,226,5,0,4620,10651
mmh,226,5,0,4760,11247
mmh,226,5,0,4900,11285
mmh,226,5,0,5040,11878
mmh,226,5,0,5180,11918
mmh,226,5,0,5320,12505
mmh,226,5,0,5460,12551
mmh,226,5,0,5600,13153
mmh,226,5,0,5740,13180
mmh,226,5,0,5880,13776
mmh,226,5,0,6020,13815
mmh,226,5,0,6160,14424
mmh,226,5,0,6300,14445
mmh,226,5,0,6440,15043
mmh,226,5,0,6580,15079
mmh,226,5,0,6720,15693
mmh,226,5,0,6860,15711
mmh,226,5,0,7000,16324
mmh,226,5,0,7140,16342
mmh,226,5,0,7280,16972
mmh,226,5,0,7420,16976
mmh,226,5,0,7560,17597
mmh,226,5,0,7700,17605
mmh,226,5,0,7840,18238
mmh,226,5,0,7980,18244
mmh,226,5,0,8120,18872
mmh,226,5,0,8260,18878
mmh,226,5,0,8400,19503
mmh,226,5,0,8540,19509
mmh,226,5,0,8680,20122
mmh,226,5,0,8820,20141
mmh,226,5,0,8960,20774
mmh,226,5,0,9100,20771
mmh,226,5,0,9240,21398
mmh,226,5,0,9380,21405
mmh,226,5,0,9520,22046
mmh,226,5,0,9660,22041
mmh,226,5,0,9800,22675
mmh,226,5,0,9940,22673
mmh,226,5,0,10080,23296
mmh,226,5,0,10220,23313
mmh,226,5,0,10360,23942
mmh,226,5,0,10500,23943
mmh,226,5,0,10640,24578
mmh,226,5,0,10780,24574
mmh,226,5,0,10920,25193
mmh,226,5,0,11060,25204
mmh,226,5,0,11200,25846
mmh,226,5,0,11340,25841
mmh,226,5,0,11480,29924
mmh,226,5,0,11620,29877
mmh,226,5,0,11760,27312
mmh,226,5,0,11900,27120
mmh,226,5,0,12040,27751
mmh,226,5,0,12180,27738
mmh,226,5,0,12320,28383
mmh,226,5,0,12460,28370
mmh,226,5,0,12600,29000
mmh,226,5,0,12740,29005
mmh,226,5,0,12880,29649
mmh,226,5,0,13020,29637
mmh,226,5,0,13160,30267
mmh,226,5,0,13300,30273
mmh,226,5,0,13440,30916
mmh,226,5,0,13580,30901
mmh,226,5,0,13720,31539
mmh,226,5,0,13860,31534
mmh,226,5,0,14000,32186
mmh,226,5,0,14140,32163
mmh,226,5,0,14280,32806
mmh,226,5,0,14420,32802
mmh,226,5,0,14560,33451
mmh,226,5,0,14700,33433
mmh,226,5,0,14840,34070
mmh,226,5,0,14980,34061
mmh,226,5,0,15120,34724
mmh,226,5,0,15260,34696
mmh,226,5,0,15400,35332
mmh,226,5,0,15540,35330
mmh,226,5,0,15680,35983
mmh,226,5,0,15820,35963
mmh,226,5,0,15960,36599
mmh,226,5,1,140,485
mmh,226,5,1,280,993
mmh,226,5,1,420,1187
mmh,226,5,1,560,1706
mmh,226,5,1,700,1901
mmh,226,5,1,840,2426
mmh,226,5,1,980,2623
mmh,226,5,1,1120,3150
mmh,226,5,1,1260,3326
mmh,226,5,1,1400,3861
mmh,226,5,1,1540,4031
mmh,226,5,1,1680,4563
mmh,226,5,1,1820,4734
mmh,226,5,1,1960,5268
mmh,226,5,1,2100,5437
mmh,226,5,1,2240,5973
mmh,226,5,1,2380,6141
mmh,226,5,1,2520,6677
mmh,226,5,1,2660,6844
mmh,226,5,1,2800,7377
mmh,226,5,1,2940,7549
mmh,226,5,1,3080,8085
mmh,226,5,1,3220,8252
mmh,226,5,1,3360,8789
mmh,226,5,1,3500,8956
mmh,226,5,1,3640,9491
mmh,226,5,1,3780,9660
mmh,226,5,1,3920,10196
mmh,226,5,1,4060,10367
mmh,226,5,1,4200,10894
mmh,226,5,1,4340,11070
mmh,226,5,1,4480,11605
mmh,226,5,1,4620,11773
mmh,226,5,1,4760,12301
mmh,226,5,1,4900,12478
mmh,226,5,1,5040,13011
mmh,226,5,1,5180,13182
