module,pi,theta,karatsuba,length,cycles
mmh,116,3,0,140,200
mmh,116,3,0,252,314
mmh,116,3,0,364,423
mmh,116,3,0,476,529
mmh,116,3,0,588,640
mmh,116,3,0,700,760
mmh,116,3,0,812,859
mmh,116,3,0,924,969
mmh,116,3,0,1036,1078
mmh,116,3,0,1148,1187
mmh,116,3,0,1260,1297
mmh,116,3,0,1372,1406
mmh,116,3,0,1484,1515
mmh,116,3,0,1596,1624
mmh,116,3,0,1708,1734
mmh,116,3,0,1820,1843
mmh,116,3,0,1932,1952
mmh,116,3,0,2044,2061
mmh,116,3,0,2156,2171
mmh,116,3,0,2268,2280
mmh,116,3,0,2380,2389
mmh,116,3,0,2492,2499
mmh,116,3,0,2604,2608
mmh,116,3,0,2716,2717
mmh,116,3,0,2828,2826
mmh,116,3,0,2940,2935
mmh,116,3,0,3052,3045
mmh,116,3,0,3164,3154
mmh,116,3,0,3276,3264
mmh,116,3,0,3388,3373
mmh,116,3,0,3500,3475
mmh,116,3,0,3612,3584
mmh,116,3,0,3724,3693
mmh,116,3,0,3836,3802
mmh,116,3,0,3948,3911
mmh,116,3,0,4060,4020
mmh,116,3,0,4172,4131
mmh,116,3,0,4284,4249
mmh,116,3,0,4396,4366
mmh,116,3,0,4508,4491
mmh,116,3,0,4620,4606
mmh,116,3,0,4732,4723
mmh,116,3,0,4844,4838
mmh,116,3,0,4956,4913
mmh,116,3,0,5068,5031
mmh,116,3,0,5180,5151
mmh,116,3,0,5292,5268
mmh,116,3,0,5404,5386
mmh,116,3,0,5516,5501
mmh,116,3,0,5628,5615
mmh,116,3,0,5740,5769
mmh,116,3,0,5852,5844
mmh,116,3,0,5964,5961
mmh,116,3,0,6076,6078
mmh,116,3,0,6188,6191
mmh,116,3,0,6300,6342
mmh,116,3,0,6412,6420
mmh,116,3,0,6524,6538
mmh,116,3,0,6636,6688
mmh,116,3,0,6748,6803
mmh,116,3,0,6860,6918
mmh,116,3,0,6972,7030
mmh,116,3,0,7084,7148
mmh,116,3,0,7196,7262
mmh,116,3,0,7308,7378
mmh,116,3,0,7420,7492
mmh,116,3,0,7532,7593
mmh,116,3,0,7644,7712
mmh,116,3,0,7756,7825
mmh,116,3,0,7868,7941
mmh,116,3,0,7980,8057
mmh,116,3,0,8092,8171
mmh,116,3,0,8204,8312
mmh,116,3,0,8316,8416
mmh,116,3,0,8428,8530
mmh,116,3,0,8540,8647
mmh,116,3,0,8652,8760
mmh,116,3,0,8764,8874
mmh,116,3,0,8876,8988
mmh,116,3,0,8988,9106
mmh,116,3,0,9100,9170
mmh,116,3,0,9212,9345
mmh,116,3,0,9324,9502
mmh,116,3,0,9436,9538
mmh,116,3,0,9548,9708
mmh,116,3,0,9660,9823
mmh,116,3,0,9772,9947
mmh,116,3,0,9884,10055
mmh,116,3,0,9996,10167
mmh,116,3,0,10108,10220
mmh,116,3,0,10220,10370
mmh,116,3,0,10332,10460
mmh,116,3,0,10444,10571
mmh,116,3,0,10556,10689
mmh,116,3,0,10668,10806
mmh,116,3,0,10780,10919
mmh,116,3,0,10892,11074
mmh,116,3,0,11004,11196
mmh,116,3,0,11116,11331
mmh,116,3,0,11228,11440
mmh,116,3,0,11340,11555
mmh,116,3,0,11452,11664
mmh,116,3,0,11564,11780
mmh,116,3,0,11676,11897
mmh,116,3,0,11788,11943
mmh,116,3,0,11900,12061
mmh,116,3,0,12012,12495
mmh,116,3,0,12124,12410
mmh,116,3,0,12236,12506
mmh,116,3,0,12348,12625
mmh,116,3,0,12460,12733
mmh,116,3,0,12572,12819
mmh,116,3,0,12684,12934
mmh,116,3,0,12796,13051
mmh,116,3,0,12908,13168
mmh,116,3,0,13020,13271
mmh,116,3,0,13132,13389
mmh,116,3,0,13244,13503
mmh,116,3,0,13356,13613
mmh,116,3,0,13468,13731
mmh,116,3,0,13580,13847
mmh,116,3,0,13692,13963
mmh,116,3,0,13804,14108
mmh,116,3,0,13916,14204
mmh,116,3,0,14028,14317
mmh,116,3,0,14140,14419
mmh,116,3,0,14252,14533
mmh,116,3,0,14364,14596
mmh,116,3,0,14476,14712
mmh,116,3,0,14588,14832
mmh,116,3,0,14700,15028
mmh,116,3,0,14812,15134
mmh,116,3,0,14924,15252
mmh,116,3,0,15036,15368
mmh,116,3,0,15148,15480
mmh,116,3,0,15260,15596
mmh,116,3,0,15372,15711
mmh,116,3,0,15484,15827
mmh,116,3,0,15596,15937
mmh,116,3,0,15708,16057
mmh,116,3,0,15820,16172
mmh,116,3,0,15932,16292
mmh,116,3,1,140,252
mmh,116,3,1,252,409
mmh,116,3,1,364,548
mmh,116,3,1,476,701
mmh,116,3,1,588,854
mmh,116,3,1,700,1013
mmh,116,3,1,812,1179
mmh,116,3,1,924,1342
mmh,116,3,1,1036,1575
mmh,116,3,1,1148,1738
mmh,116,3,1,1260,1903
mmh,116,3,1,1372,2067
mmh,116,3,1,1484,2234
mmh,116,3,1,1596,2398
mmh,116,3,1,1708,2563
mmh,116,3,1,1820,2726
mmh,116,3,1,1932,2890
mmh,116,3,1,2044,3055
mmh,116,3,1,2156,3219
mmh,116,3,1,2268,3395
mmh,116,3,1,2380,3549
mmh,116,3,1,2492,3713
mmh,116,3,1,2604,3882
mmh,116,3,1,2716,4042
mmh,116,3,1,2828,4195
mmh,116,3,1,2940,4375
mmh,116,3,1,3052,4503
mmh,116,3,1,3164,4674
mmh,116,3,1,3276,4840
mmh,116,3,1,3388,5015
mmh,116,3,1,3500,5209
mmh,116,3,1,3612,5366
mmh,116,3,1,3724,5525
mmh,116,3,1,3836,5701
mmh,116,3,1,3948,5869
mmh,116,3,1,4060,6030
mmh,116,3,1,4172,6195
mmh,116,3,1,4284,6359
mmh,116,3,1,4396,6525
mmh,116,3,1,4508,6690
mmh,116,3,1,4620,6852
mmh,116,3,1,4732,7015
mmh,116,3,1,4844,7183
mmh,116,3,1,4956,7348
mmh,116,3,1,5068,7512
mmh,116,3,1,5180,7675
mmh,116,3,1,5292,7841
mmh,116,3,1,5404,8004
mmh,116,3,1,5516,8166
mmh,116,3,1,5628,8335
mmh,116,3,1,5740,8499
mmh,116,3,1,5852,8663
mmh,116,3,1,5964,8828
mmh,116,3,1,6076,8993
mmh,116,3,1,6188,9155
mmh,116,3,1,6300,9320
mmh,116,3,1,6412,9484
mmh,116,3,1,6524,9651
mmh,116,3,1,6636,9811
mmh,116,3,1,6748,9978
mmh,116,3,1,6860,10144
mmh,116,3,1,6972,10309
mmh,116,3,1,7084,10470
mmh,116,3,1,7196,10635
mmh,116,3,1,7308,10799
mmh,116,3,1,7420,10966
mmh,116,3,1,7532,11127
mmh,116,3,1,7644,11295
mmh,116,3,1,7756,11459
mmh,116,3,1,7868,11624
mmh,116,3,1,7980,11787
