bytes,cycles
56,226
112,281
168,379
224,452
280,535
336,611
392,667
448,763
504,826
560,892
616,978
672,1069
728,1139
784,1219
840,1294
896,1373
952,1448
1008,1525
1064,1599
1120,1679
1176,1754
1232,1829
1288,1906
1344,1980
1400,2055
1456,2136
1512,2209
1568,2292
1624,2369
1680,2440
1736,2512
1792,2590
1848,2667
1904,2745
1960,2817
2016,2908
2072,2975
2128,3048
2184,3122
2240,3203
2296,3280
2352,3365
2408,3435
2464,3507
2520,3583
2576,3655
2632,3737
2688,3816
2744,3890
2800,3958
2856,4033
2912,4122
2968,4184
3024,4279
3080,4346
3136,4416
3192,4493
3248,4574
3304,4651
3360,4718
3416,4792
3472,4876
3528,4949
3584,5021
3640,5101
3696,5180
3752,5260
3808,5339
3864,5410
3920,5476
3976,5554
4032,5635
4088,5711
4144,5793
4200,5866
4256,5944
4312,6019
4368,6111
4424,6164
4480,6237
4536,6312
4592,6401
4648,6474
4704,6542
4760,6622
4816,6705
4872,6883
4928,6838
4984,6920
5040,7021
5096,7080
5152,7162
5208,7234
5264,7306
5320,7390
5376,7454
5432,7534
5488,7644
5544,7693
5600,7774
5656,7844
5712,7919
5768,7987
5824,8064
5880,8142
5936,8223
5992,8285
6048,8367
6104,8432
6160,8566
6216,8606
6272,8664
6328,8761
6384,8815
6440,8883
6496,8964
6552,9039
6608,9112
6664,9284
6720,9313
6776,9349
6832,9427
6888,9513
6944,9613
7000,9711
7056,9741
7112,9815
7168,9910
7224,9974
7280,10054
7336,10125
7392,10199
7448,10292
7504,10380
7560,10449
7616,10499
7672,10580
7728,10658
7784,10762
7840,10824
7896,10890
7952,10965
8008,11062
8064,11111
8120,11204
8176,11292
8232,11365
8288,11437
8344,11525
8400,11588
8456,11655
8512,11735
8568,11820
8624,11891
8680,11970
8736,12034
8792,12125
8848,12196
8904,12273
8960,12341
9016,12415
9072,12511
9128,12578
9184,12652
9240,12735
9296,12812
9352,12861
9408,12959
9464,13016
9520,13115
9576,13188
9632,13255
9688,13341
9744,13421
9800,13486
9856,13569
9912,13642
9968,13706
10024,13798
10080,13874
10136,13923
10192,14015
10248,14100
10304,14183
10360,14235
10416,14330
10472,14420
10528,14534
10584,14550
10640,14608
10696,14683
10752,14759
10808,14858
10864,14921
10920,14997
10976,15081
11032,15150
11088,15245
11144,15314
11200,15373
11256,15450
11312,15557
11368,15581
11424,15694
11480,15745
11536,15807
11592,15915
11648,15963
11704,16042
11760,16145
11816,16187
11872,16285
11928,16382
11984,16421
12040,16544
12096,16614
12152,16659
12208,16782
12264,16817
12320,16930
12376,17007
12432,17054
12488,17118
12544,17222
12600,17265
12656,17343
12712,17449
12768,17517
12824,17561
12880,17655
12936,17726
12992,17788
13048,17842
13104,17965
13160,18014
13216,18100
13272,18213
13328,18264
13384,18397
13440,18436
13496,18514
13552,18561
13608,18683
13664,18713
13720,18811
13776,18859
13832,18944
13888,19039
13944,19123
14000,19166
14056,19231
14112,19342
14168,19447
14224,19504
14280,19540
14336,19645
14392,19741
14448,19820
14504,19843
14560,19926
14616,20011
14672,20180
14728,20182
14784,20226
14840,20320
14896,20416
14952,20504
15008,20574
15064,20632
15120,20706
15176,20779
15232,20841
15288,20949
15344,21001
15400,21094
15456,21155
15512,21216
15568,21306
15624,21410
15680,21485
15736,21509
15792,21592
15848,21696
15904,21775
15960,21822
16016,21937
