bytes,cycles
224,395
448,593
672,823
896,1013
1120,1242
1344,1445
1568,1662
1792,1876
2016,2084
2240,2294
2464,2501
2688,2714
2912,2927
3136,3137
3360,3351
3584,3557
3808,3768
4032,3987
4256,4183
4480,4398
4704,4605
4928,4816
5152,5077
5376,5232
5600,5451
5824,5662
6048,5867
6272,6076
6496,6279
6720,6501
6944,6708
7168,6926
7392,7124
7616,7336
7840,7548
8064,7767
8288,7961
8512,8169
8736,8421
8960,8589
9184,8816
9408,9252
9632,9232
9856,9432
10080,9693
10304,10207
10528,11068
10752,11325
10976,10946
11200,11294
11424,11354
11648,11136
11872,11337
12096,11548
12320,11768
12544,11984
12768,12205
12992,12419
13216,12628
13440,12831
13664,13045
13888,13265
14112,13492
14336,13688
14560,14029
14784,14102
15008,14319
15232,14525
15456,14732
15680,14943
15904,15140
16128,15373
