bytes,cycles
224,313
448,515
672,723
896,941
1120,1151
1344,1378
1568,1607
1792,1827
2016,2058
2240,2324
2464,2564
2688,2793
2912,2957
3136,3180
3360,3468
3584,3692
3808,3863
4032,4141
4256,4366
4480,4588
4704,4812
4928,5002
5152,5274
5376,5478
5600,5704
5824,5934
6048,6164
6272,6385
6496,6612
6720,6838
6944,7054
7168,7279
7392,7496
7616,7728
7840,7945
8064,8175
8288,8407
8512,8614
8736,8837
8960,9066
9184,9289
9408,9512
9632,9754
9856,9963
10080,10189
10304,10408
10528,10628
10752,10855
10976,11075
11200,11315
11424,11525
11648,11749
11872,11996
12096,12199
12320,12441
12544,12655
12768,12902
12992,13102
13216,13328
13440,13545
13664,13774
13888,14002
14112,14350
14336,14445
14560,14660
14784,14887
15008,15113
15232,15343
15456,15595
15680,15804
15904,16046
16128,16236
